aaer_num,filing_entity,aaer_respondent,primary_category,fiscal_periods_affected,dollar_impact,specific_mechanism,respondent_type,llm_confidence,release_no,sec_date,pdf_name
3977,"Barrett Business Services, Inc.","Barrett Business Services, Inc. and Mark Cannon, CPA",ACCOUNTING_ESTIMATE,FY2012|FY2013|FY2014|FY2015-Q1|FY2015-Q2|FY2015-Q3,overstated net income by $2.2 million in 2013; understated workers' compensation liability by $80 million,"BBSI intentionally understated its workers' compensation liability by concealing a second actuarial report that corroborated the need for an $80 million reserve increase, and misclassified expenses to understate workers' compensation expense.",issuer,0.95,"33-10557, 34-84233, AAER-3977","Sept. 20, 2018",AAER-3977.pdf
4417,"USA Technologies, Inc.","Cantaloupe, Inc. (f/k/a USA Technologies, Inc.)",REVENUE_TIMING,FY2017-Q4|FY2018-Q1|FY2018-Q2|FY2018-Q3|FY2017|FY2018,overstated revenue by approximately $4.61 million,USA Technologies improperly recognized revenue on bill-and-hold transactions that did not meet GAAP criteria and shipped unordered devices to customers to inflate quarterly sales.,issuer,0.95,"33-11202, 34-97651, AAER-4417","June 5, 2023",AAER-4417.pdf
4302,"Synchronoss Technologies, Inc.","Synchronoss Technologies, Inc.",REVENUE_TIMING,FY2013|FY2014|FY2015|FY2016|FY2017,approximately $190 million in cumulative revenues,"Synchronoss improperly recognized revenue upfront on license/hosting transactions that should have been recognized ratably, recognized revenue on license agreements in acquisitions/divestitures instead of combining with purchase/sales prices, and recognized revenue without persuasive evidence of an arrangement.",issuer,0.95,"34-95049, AAER-4302","June 7, 2022",AAER-4302.pdf
4537,Elanco Animal Health Incorporated,Elanco Animal Health Inc.,REVENUE_TIMING,FY2019-Q1|FY2019-Q2|FY2019-Q3|FY2019-Q4|FY2020-Q1,$160 million decline in revenue,"Elanco offered quarter-end incentives (rebates and extended payment terms) to distributors to induce purchases in excess of end-user demand, thereby accelerating revenue recognition and meeting internal targets, while failing to disclose the practice and attributing revenue growth to strong consumer demand.",issuer,0.95,"33-11326, 34-101574, AAER-4537","Nov. 12, 2024",AAER-4537.pdf
2885,"Bally Technologies, Inc.","Bally Technologies, Inc.",REVENUE_TIMING,FY2003-Q4|FY2004-Q1|FY2004-Q2|FY2005-Q2|FY2005-Q3,"overstated net sales revenue by $8.4 million in Q4 FY2003, $8.8 million in Q1 FY2004, and $10.2 million in Q2 FY2004","Bally improperly recognized revenue on bill-and-hold transactions, including sales to specific customers and games stored awaiting regulatory approval, overstating net sales revenue by $8.4 million in Q4 FY2003, $8.8 million in Q1 FY2004, and $10.2 million in Q2 FY2004.",issuer,0.95,"34-58636, AAER-2885","Sept. 24, 2008",AAER-2885.pdf
4164,BorgWarner Inc.,BorgWarner Inc.,ACCOUNTING_ESTIMATE,FY2012|FY2013|FY2014|FY2015|FY2016,pre-tax $703.6 million charge for IBNR liability,"BorgWarner failed to estimate its incurred but not reported (IBNR) liability for future asbestos claims from 2012 through 2016, resulting in a material understatement of liabilities and overstatement of pre-tax earnings, later restated with a $703.6 million charge.",issuer,0.95,"34-89677, AAER-4164","Aug. 26, 2020",AAER-4164.pdf
2744,MQ Associates,"MQ Associates, Inc.",ACCOUNTING_ESTIMATE,FY2002|FY2003|FY2004-Q1|FY2004-Q2|FY2004-Q3,cumulative reduction of net income by $34.7 million,"MQ Associates materially understated its allowance for contractual adjustments on accounts receivable, causing an overstatement of accounts receivable and revenues, which was corrected by a restatement reducing net income by $34.7 million cumulatively.",issuer,0.95,"34-56674, AAER-2744","Oct. 18, 2007",AAER-2744.pdf
4343,Tupperware Brands Corporation,Tupperware Brands Corporation,REVENUE_TIMING,FY2016|FY2017|FY2018|FY2019|FY2020-Q1,approximately $5.2 million of reserves and $2.4 million of other accruals,"Tupperware improperly recognized revenue by shipping unordered products (Non-PO Sales) to sales representatives without purchase orders, often at period end, and failed to adequately reserve for resulting returns, overstating net sales.",issuer,0.95,"34-95943, AAER-4343","Sept. 29, 2022",AAER-4343.pdf
4110,Quantum Corporation,Quantum Corporation,REVENUE_TIMING,FY2015-Q4|FY2016|FY2017|FY2018-Q1|FY2018-Q2,up to approximately 7% of total quarterly revenue,"Quantum recognized revenue on channel partner transactions without meeting GAAP criteria, including granting favorable deal terms that created post-delivery obligations, resulting in revenue being recorded in incorrect periods.",issuer,0.95,"34-87812, AAER-4110","Dec. 20, 2019",AAER-4110.pdf
3806,Weatherford International Ltd.,"Weatherford International PLC, et al.",ACCOUNTING_ESTIMATE,FY2007|FY2008|FY2009|FY2010|FY2011,overstated earnings by over $900 million,"Weatherford inflated earnings by over $900 million through improper post-closing adjustments or 'plugs' to manipulate the effective tax rate and understate income tax expense, violating GAAP.",issuer,0.95,"33-10221, 34-78944, AAER-3806","Sept. 27, 2016",AAER-3806.pdf
3706,Trinity Capital Corporation,Trinity Capital Corporation,ACCOUNTING_ESTIMATE,FY2010|FY2011|FY2012-Q1|FY2012-Q2,"understated provision for loan losses by $6.8 million in 2010, $22.3 million in 2011, $4.5 million in Q1 2012; overstated by $2.3 million in Q2 2012; understated OREO losses by $364,000 in 2011","The Bank manipulated its allowance for loan and lease losses (ALLL) and other real estate owned (OREO) valuations by failing to properly estimate loan losses and collateral declines, understating the provision for loan losses by $6.8 million (25%) in 2010, $22.3 million (73%) in 2011, and $4.5 million (68%) in Q1 2012, and understating OREO losses by $364,000 (10%) in 2011.",issuer,0.95,"33-9930, 34-75997, AAER-3706","Sept. 28, 2015",AAER-3706.pdf
3845,Orthofix International N.V.,"Orthofix International N.V.; Jeffrey Hammel, CPA; Brian Mccollum; Kenneth Mack and Bryan Mcmillan",REVENUE_TIMING,FY2010|FY2011|FY2012|FY2013-Q1,overstated net sales for fiscal year 2011 by 6% and operating income by over 430%,"Orthofix improperly recognized revenue on contingent sales with its largest international distributor, recognized revenue when product could not be resold due to a delayed associated product, treated price discounts as expenses instead of reducing revenue, and recognized revenue on transactions with return/exchange rights.",issuer,0.95,"33-10281, 34-79815, AAER-3845","Jan. 18, 2017",AAER-3845.pdf
4081,"The Bancorp, Inc.","The Bancorp, Inc.",ACCOUNTING_ESTIMATE,FY2010|FY2011|FY2012|FY2013,approximately $138.6 million,"Bancorp understated its Allowance for Loan and Lease Losses and Provision for Loan and Lease Losses by failing to assign appropriate risk ratings to loans and failing to identify impaired loans and troubled debt restructurings, resulting in a restatement with aggregate adjustments of approximately $138.6 million.",issuer,0.95,"34-87036, AAER-4081","Sept. 20, 2019",AAER-4081.pdf
3804,Park National Corporation,Park National Corporation,ACCOUNTING_ESTIMATE,FY2010|FY2011-Q1|FY2011-Q2|FY2011-Q3,overstated ALLL by more than $22 million,"PRK understated its Allowance for Loan Losses by improperly including anticipated guarantor cash flows from active litigation and using unsubstantiated collateral valuations from an unqualified contractor, resulting in a $22 million understatement of the ALLL and a 25% decrease in income before taxes for FY2010.",issuer,0.95,"34-78896, AAER-3804","Sept. 21, 2016",AAER-3804.pdf
3237,Deerfield Capital Corp.,"Deerfield Capital Corp. and Danielle Valkner, CPA",REVENUE_TIMING,FY2005-Q4|FY2005|FY2006-Q1|FY2006,overstated gain by approximately $7.5 million,"Deerfield Capital improperly recognized gains on purported sales of REMIC securities while simultaneously purchasing re-REMICs representing nearly the same rights to the same stream of payments, in substance failing to meet sale accounting criteria under GAAP.",issuer,0.95,"34-63818, AAER-3237","Feb. 2, 2011",AAER-3237.pdf
4480,Brooge Energy Limited (f/k/a Brooge Holdings Limited),"Brooge Energy Limited, Nicolaas Lammert Paardenkooper and Lina Saheb",REVENUE_TIMING,FY2018|FY2019|FY2020|FY2021-Q1,overstated revenue by approximately 30-80% of revenues from 2018 through early 2021,"Brooge created two sets of invoices—actual invoices to real customers and a second set of fictitious invoices reflecting inflated rates and volumes, which were 'paid' through unsupported related-party transactions, resulting in materially misstated revenues.",issuer,0.95,"33-11260, 34-99228, AAER-4480","Dec. 22, 2023",AAER-4480.pdf
3996,Agria Corporation,Agria Corporation,ACCOUNTING_ESTIMATE,FY2010|FY2011|FY2012|FY2013,$57.3 million,"Agria failed to perform an impairment analysis and did not write down the $57.3 million carrying value of land use rights despite known impairment indicators (lack of economic viability and legal defects), then later wrote off the full amount in 2013.",issuer,0.95,"34-84763, AAER-3996","Dec. 10, 2018",AAER-3996.pdf
4199,Apex Global Brands Inc. (formerly Cherokee Inc.),Apex Global Brands Inc.,ACCOUNTING_ESTIMATE,FY2017|FY2018-Q1|FY2018-Q2|FY2018-Q3,overstated trademark values by approximately $34.5 million,"Apex failed to timely recognize impairment charges on three trademarks totaling $34.5 million by performing only limited qualitative impairment assessments that ignored negative indicators, thereby overstating asset values and net income.",issuer,0.95,"33-10907, 34-90714, AAER-4199","Dec. 17, 2020",AAER-4199.pdf
3844,"L3 Technologies, Inc.","L3 Technologies, Inc.",REVENUE_TIMING,FY2011|FY2012|FY2013|FY2014,$17.9 million,L3's Army Sustainment Division improperly recorded $17.9 million in revenue based on invoices associated with unresolved claims against the U.S. Army that were created in the internal accounting system but not delivered to the customer.,issuer,0.95,"34-79772, AAER-3844","Jan. 11, 2017",AAER-3844.pdf
2485,"Lantronix, Inc.","Lantronix, Inc.",REVENUE_TIMING,FY2001-Q2|FY2001-Q3|FY2001|FY2002-Q1,overstated revenues by 2.24% to 21.42% and understated pre-tax losses by 12% to 98%,Lantronix inflated revenue by channel stuffing—sending excessive product to distributors with expanded return rights and extended payment terms—and by recognizing revenue on contingent sales and shipments without purchase orders.,issuer,0.95,"33-8745, 34-54525, AAER-2485","Sept. 27, 2006",AAER-2485.pdf
4094,"PPG Industries, Inc.","PPG Industries, Inc.",EXPENSE_DEFERRAL,FY2016|FY2017|FY2018-Q1,reduced PPG's previously reported GAAP pretax income from continuing operations by a cumulative $6 million for 2016 and 2017,"PPG's senior accounting officer directed subordinates to delay recording or not record certain expense accruals, and to misclassify certain income as from continuing operations, resulting in a cumulative $6 million overstatement of pretax income from continuing operations for 2016 and 2017.",issuer,0.95,"33-10701, 34-87129, AAER-4094","Sept. 26, 2019",AAER-4094.pdf
2644,Quovadx,"Quovadx, Inc.",REVENUE_TIMING,FY2002-Q3|FY2003-Q3|FY2003-Q4,overstated revenue by approximately $12 million,"Quovadx improperly recognized over $12 million in software licensing revenue from four customers by recognizing revenue before all criteria under SOP 97-2 were met, including lack of persuasive evidence of an arrangement, delivery, fixed fee, or reasonable collectibility.",issuer,0.95,"33-8825, 34-56082, AAER-2644, AAER-2641","July 17, 2007",AAER-2644.pdf
2306,"Premier Financial Bancorp, Inc.","Premier Financial Bancorp, Inc.",ACCOUNTING_ESTIMATE,FY2001|FY2002|FY2003,overstated net income by approximately $6.2 million in charge-offs and $8.7 million in allowance for loan losses,"Covington manipulated the allowance for loan losses and charge-offs by concealing loan losses, recording fictitious loans, and bump-dating loans to understate the required reserve, causing Premier to file materially inaccurate financial statements.",issuer,0.95,"34-52370, AAER-2306","Aug. 31, 2005",AAER-2306.pdf
4153,"Valeant Pharmaceuticals International, Inc.","Valeant Pharmaceuticals International, Inc. and n/k/a Bausch Health Companies Inc.",REVENUE_TIMING,FY2015-Q2|FY2015-Q3|FY2015,overstated net revenue by approximately $110 million,"Valeant improperly allocated $110 million in price appreciation credits from a single drug (Glumetza) to over 100 other products, thereby misstating revenue recognition and misleading investors about the source and nature of its reported revenue.",issuer,0.95,"33-10809, 34-89442, AAER-4153","July 31, 2020",AAER-4153.pdf
4357,Cronos Group Inc.,Cronos Group Inc.,REVENUE_TIMING,FY2019-Q1|FY2019-Q3|FY2021-Q2,overstated revenue by approximately $5.8 million; failed to record approximately $234.9 million in impairment charges,"Cronos improperly recognized revenue on sales of cannabis raw materials where simultaneous repurchase agreements or oral repurchase commitments existed, and failed to timely record goodwill and intangible asset impairment charges.",issuer,0.95,"33-11123, 34-96137, AAER-4357","Oct. 24, 2022",AAER-4357.pdf
4247,Pareteum,Pareteum Corporation,REVENUE_TIMING,FY2018|FY2019-Q1|FY2019-Q2,overstated revenue by approximately $12 million for FY2018 and approximately $30 million for Q1-Q2 2019,"Revenue was recognized based on non-binding purchase orders and prior to product shipment, resulting in overstatement of revenue by approximately $12 million for FY2018 and $30 million for the first two quarters of 2019.",issuer,0.95,"33-10975, 34-92866, AAER-4247","Sept. 2, 2021",AAER-4247.pdf
2623,IBM,International Business Machines Corporation,REVENUE_TIMING,FY2000|FY2001,overstated revenue by approximately $577 million,"IBM engaged in a sham transaction with Dollar General, purchasing worthless Omron equipment for approximately $11 million to facilitate premature revenue recognition, and also made numerous discrete revenue recognition timing errors totaling approximately $577 million over two years.",issuer,0.95,"34-55954, AAER-2623","June 25, 2007",AAER-2623.pdf
2359,Applix,"Applix, Inc.",REVENUE_TIMING,FY2001|FY2002-Q2,"overstated revenue by approximately $1,239,000","Applix improperly recognized $898,000 of software license revenue upfront under a reseller agreement that included rights to a future product still in development, and improperly recognized $341,000 in revenue before customer acceptance, both in violation of SOP 97-2.",issuer,0.95,"33-8651, 34-53049, AAER-2359","Jan. 4, 2006",AAER-2359.pdf
2528,Interstate Bakeries Corp.,Interstate Bakeries Corporation,ACCOUNTING_ESTIMATE,FY2004-Q2|FY2004-Q3,understated reserves by at least $30 million,"The principal financial officer ignored the insurance consultant's $30-$32 million workers' compensation reserve estimate and instead used obsolete data and an unreliable methodology, understating reserves by at least $30 million and overstating pre-tax income.",issuer,0.95,"34-54994, AAER-2528","Dec. 21, 2006",AAER-2528.pdf
3946,"KBR, Inc.","KBR, Inc.",ACCOUNTING_ESTIMATE,FY2013|FY2013-Q3,"$156 million charge (including $35 million revenue reduction, $24 million profit reversal, $97 million loss recognition)","KBR failed to make accurate and reliable estimates of costs to complete seven pipe fabrication and modular assembly contracts, resulting in a $156 million charge from reversing previously recognized profits, recognizing losses, and reducing revenue.",issuer,0.95,"33-10516, 34-83578, AAER-3946","July 2, 2018",AAER-3946.pdf
2908,Converium Holding AG,Zurich Financial Services,REVENUE_TIMING,FY2000|FY2001,understated loss before taxes by approximately $100 million (67%) in 2000 and by approximately $3 million (1%) in 2001,"Zurich and Converium used finite reinsurance transactions that lacked true risk transfer, improperly accounting for them as reinsurance to understate reported loss before taxes by approximately $100 million in 2000 and $3 million in 2001.",issuer,0.95,"34-59083, AAER-2908","Dec. 11, 2008",AAER-2908.pdf
3600,"Hampton Roads Bankshares, Inc.","Hampton Roads Bankshares, Inc.",ACCOUNTING_ESTIMATE,FY2009|FY2010-Q1,overstated deferred tax asset by approximately $56 million,"HRBS recorded a deferred tax asset of over $56 million without a sufficient valuation allowance, based on unreasonable and unsupportable financial projections that ignored the ongoing deterioration of its loan portfolio.",issuer,0.95,"34-73750, AAER-3600","Dec. 5, 2014",AAER-3600.pdf
4487,Cloopen,Cloopen Group Holding Limited,REVENUE_TIMING,FY2021-Q2|FY2021-Q3,overstated revenue by approximately $1.8 million (RMB 11.6 million) in Q2 2021 and $2.8 million (RMB 17.8 million) in Q3 2021,"Senior Managers prematurely recognized revenue on service contracts for which Cloopen had either not completed work or not even started work, and also falsified supporting documentation on other contracts.",issuer,0.95,"34-99483, AAER-4487","Feb. 6, 2024",AAER-4487.pdf
4542,"United Parcel Service, Inc.","United Parcel Service, Inc.",ACCOUNTING_ESTIMATE,FY2019|FY2020,overstated goodwill by approximately $500 million,UPS ignored its own internal fair value analysis and withheld key information from an external consultant to avoid recording a goodwill impairment of approximately $500 million in 2019 and 2020.,issuer,0.95,"33-11328, 34-101702, AAER-4542","Nov. 22, 2024",AAER-4542.pdf
2403,"Netopia, Inc.","Netopia, Inc.",REVENUE_TIMING,FY2002-Q2,overstated revenue by approximately $1.6 million,"Netopia recognized approximately $1.6 million in software revenue in the quarter ended June 30, 2002, based on a side agreement that made the customer's payment obligation contingent on receipt of payment from the end user, and sales personnel altered the purchase order to remove the contingency language.",issuer,0.95,"34-53566, AAER-2403","March 29, 2006",AAER-2403.pdf
4510,"CPI Aerostructures, Inc.","CPI Aerostructures, Inc.",REVENUE_TIMING,FY2018-Q3,"overstated revenue by approximately $742,000","CPI Aero improperly recognized revenue by applying the cost-to-cost percentage of completion method at the program level using unexercised and non-binding customer purchase options, rather than at the performance obligation level as required by ASC Topic 606, resulting in an overstatement of revenue.",issuer,0.95,"34-100389, AAER-4510","June 20, 2024",AAER-4510.pdf
4045,GT Advanced Technologies Inc.,GT Advanced Technologies Inc.,ACCOUNTING_ESTIMATE,FY2014-Q2,overstated working capital by $306.7 million; understated current liabilities by $306.7 million,"GT misclassified $306.7 million of Apple debt as long-term instead of current by taking an unsupported position that Apple breached a lease, thereby avoiding a debt reclassification that would have materially impacted liquidity and going-concern status.",issuer,0.95,"33-10636, 34-85767, AAER-4045","May 3, 2019",AAER-4045.pdf
3139,China Yuchai International Limited,China Yuchai International Limited,EXPENSE_DEFERRAL,FY2005,overstated net income by approximately $21 million,"China Yuchai overstated net income by approximately $21 million by erroneously reducing the GR/IR (Goods Received/Invoices Not Received) account through an adjusting journal entry, which improperly deferred recognition of cost of goods sold.",issuer,0.95,"34-62235, AAER-3139","June 7, 2010",AAER-3139.pdf
2278,Comerica,"Comerica, Inc.",ACCOUNTING_ESTIMATE,FY2002-Q2,overstated net income by approximately 14.8%,"Comerica understated its allowance for loan and lease losses (ALLL) by using a flawed methodology, causing net income to be overstated by approximately 14.8% for the quarter ended June 30, 2002.",issuer,0.95,"34-52041, AAER-2278","July 15, 2005",AAER-2278.pdf
2784,"AXM Pharma, Inc.","AXM Pharma, Inc.",REVENUE_TIMING,FY2005-Q2,overstated revenue by approximately $2.8 million,AXM improperly recognized approximately $2.8 million in revenue on sales to a distributor in Asia that failed to meet GAAP criteria for revenue recognition.,issuer,0.95,"34-57330, AAER-2784","Feb. 14, 2008",AAER-2784.pdf
3242,ArthroCare Corporation,Arthrocare Corporation,REVENUE_TIMING,FY2005-Q4|FY2006-Q1|FY2006-Q2|FY2006-Q3|FY2006-Q4|FY2007-Q1|FY2007-Q2|FY2007-Q3|FY2007-Q4|FY2008-Q1,,"ArthroCare prematurely recognized revenue on shipments to distributor DiscoCare at quarter-end, where DiscoCare had no need for the inventory, no reasonable likelihood of resale, and received extended payment terms with implicit payment contingent on resale, and also arranged for post-quarter-end returns to avoid exceeding analyst targets.",issuer,0.95,"34-63883, AAER-3242","Feb. 9, 2011",AAER-3242.pdf
4375,"Roadrunner Transportation Systems, Inc.","Roadrunner Transportation Systems, Inc.",EARNINGS_SMOOTHING,FY2013-Q2|FY2013-Q3|FY2013-Q4|FY2014|FY2015|FY2016-Q1|FY2016-Q2|FY2016-Q3,,"Roadrunner improperly deferred expenses to future quarters, avoided writing down worthless assets and uncollectable receivables, and manipulated contingent earnout liabilities to create an income cushion that could be released in later periods to offset expenses and meet earnings targets.",issuer,0.95,"33-11156, 34-96909, AAER-4375","Feb. 14, 2023",AAER-4375.pdf
2984,"Dyadic International, Inc.","Dyadic International, Inc.",REVENUE_TIMING,FY2005|FY2006|FY2005-Q2|FY2005-Q3|FY2006-Q1|FY2006-Q2|FY2006-Q3,,"Dyadic improperly recognized revenue from sales made by its subsidiary Puridet to a sham customer (Pui Shing) that was secretly controlled by Puridet's management, where the underlying sales were cash-based to local businesses and not bona fide, overstating revenue and accounts receivable by an unquantified amount.",issuer,0.95,"34-60047, AAER-2984","June 4, 2009",AAER-2984.pdf
3585,"JDA Software Group, Inc.","JDA Software Group, Inc.",REVENUE_TIMING,FY2008|FY2009|FY2010|FY2011-Q1|FY2011-Q2|FY2011-Q3,,"JDA failed to establish vendor-specific objective evidence of fair value for Managed Services and certain consulting arrangements sold with software licenses, and failed to properly link revenue from software licenses and related services, resulting in revenue being recorded in the wrong periods.",issuer,0.95,"34-73209, AAER-3585","Sept. 25, 2014",AAER-3585.pdf
2839,NEC Corporation,NEC Corporation,REVENUE_TIMING,FY2000|FY2001|FY2002|FY2003|FY2004|FY2005,,"NEC improperly recognized revenue from multi-element arrangements (hardware, software, customer support) without establishing vendor-specific objective evidence (VSOE), failing to defer revenue over the customer support term as required by GAAP.",issuer,0.95,"34-57974, AAER-2839","June 17, 2008",AAER-2839.pdf
2920,Cablevision Systems Corporation,Cablevision Systems Corporation,EXPENSE_DEFERRAL,FY1999|FY2000|FY2001|FY2002|FY2003,,"Cablevision improperly recognized certain costs as current expenses when they should not have been recognized in those periods, by falsifying invoices and other documents to accrue expenses earlier than they should have been, causing overstatement of expenses in earlier periods and understatement in later periods.",issuer,0.95,"34-59277, AAER-2920","Jan. 22, 2009",AAER-2920.pdf
4095,FCA US LLC,FCA US LLC and Fiat Chrysler Automobiles N.V.,REVENUE_TIMING,FY2012|FY2013|FY2014|FY2015|FY2016,,"FCA US inflated monthly vehicle sales by paying dealers to report fake sales that were later reversed, and by maintaining a 'cookie jar' database of actual but unreported sales that it drew upon to inflate sales numbers in months when results needed to appear better.",issuer,0.95,"33-10706, 34-87134, AAER-4095","Sept. 27, 2019",AAER-4095.pdf
3869,MagnaChip Semiconductor Corp.,"MagnaChip Semiconductor Corporation and Margaret Hye-Ryoung Sakai, CPA",REVENUE_TIMING,FY2011|FY2012|FY2013-Q1|FY2013-Q2|FY2013-Q3,,MagnaChip inflated revenue by engaging in channel stuffing through undisclosed side agreements with distributors and by recording fictitious sales of products that had not yet completed manufacturing.,issuer,0.95,"33-10352, 34-80564, AAER-3869","May 1, 2017",AAER-3869.pdf
4161,"Super Micro Computer, Inc.","Super Micro Computer, Inc.",REVENUE_TIMING,FY2015|FY2016|FY2017,,"Super Micro prematurely recognized revenue by shipping goods before delivery dates, altering shipment terms, recognizing revenue before customer acceptance, shipping incomplete goods, and recognizing extended warranty revenue upfront, while also understating expenses by misusing cooperative marketing funds and failing to write down inventory.",issuer,0.95,"33-10822, 34-89656, AAER-4161","Aug. 25, 2020",AAER-4161.pdf
